forecast_origin,horizon,Output growth rate,Consumption growth rate,Investment growth rate,log Hours worked,Inflation,Wage growth rate,Federal funds rate
47,12,-0.00176485729373688,0.206768713031744,-0.306885335323987,0.945429198154696,0.457438247614826,0.0913266527777738,1.03279150223164
47,13,0.0391864066987195,0.232962674699976,-0.265035869003938,0.848080336660049,0.440207190518633,0.115090012248878,1.03520336577002
47,14,0.0797703109697163,0.258040929546254,-0.218360947729212,0.770100734988907,0.428319496017112,0.139567513910149,1.0361482596213
47,15,0.118154910763946,0.280942365308019,-0.170831353092274,0.710178827098629,0.421185746483323,0.163714465202925,1.03619587584355
47,16,0.153180245590508,0.301020213727796,-0.125110213767595,0.666313076739434,0.418062768050205,0.186777824679703,1.03579980941683
48,1,0.75489687908757,0.603577833486394,1.76414836894274,1.91806667534612,0.155271159772065,0.364327635068049,0.832066628607864
48,2,0.338408136003825,0.272372457462935,1.03720808042306,2.03059515438501,0.257146690095204,0.253042332995877,0.866497047868226
48,3,0.16558397164676,0.174591556931362,0.621278954615837,2.02158447998386,0.321044049484742,0.184220152020711,0.889832514163791
48,4,0.0947636333732758,0.162350730295494,0.363068740205953,1.95989368950933,0.358954791049389,0.141624636449739,0.908034225042867
48,5,0.0690131985983428,0.17924298071413,0.194470044629732,1.87536935326222,0.379530755839401,0.116815066774759,0.923268577872643
48,6,0.0650349932400222,0.204491911275278,0.082721056208118,1.78208640776758,0.388938847520922,0.104755009134157,0.936310448996199
48,7,0.0728023776607428,0.230851371071501,0.0101377562972259,1.6874802990118,0.391561137515144,0.102049779727034,0.947482787507353
48,8,0.0875166927093601,0.255997205713333,-0.0341678494171663,1.59591270726047,0.390478858885021,0.106206567100527,0.956999627348025
48,9,0.10647952431475,0.279269642695983,-0.0577072016387357,1.5100782783497,0.387808337247309,0.115303528313861,0.965072623919749
48,10,0.127904648104677,0.300504821795929,-0.0660622004529203,1.43159589626506,0.384945300997706,0.127827329335663,0.971929443671268
48,11,0.150479739226347,0.319658017292262,-0.0635330306890635,1.36130282882738,0.382750487432043,0.142582430693095,0.977803866885577
48,12,0.173206776362978,0.336709531413612,-0.0534626756950483,1.29944368295222,0.381694322665205,0.158632267467775,0.982920674721702
48,13,0.195338500520461,0.351659011375659,-0.0384301042066998,1.24581980002233,0.381970597624076,0.175255540732182,0.987483285031333
48,14,0.216343135013118,0.364538211676506,-0.0203884610553559,1.19991800181557,0.383585302937253,0.191910458707492,0.991666076893044
48,15,0.235874528452081,0.375420171008353,-0.000777630390079886,1.1610219620711,0.386425016165925,0.208203882381789,0.995611099881095
48,16,0.253741827405302,0.384420392051204,0.0193782680677338,1.12830551300583,0.390308356234848,0.223864118252463,0.999428170404664
49,1,0.23980562809961,0.228725171270375,0.369439461771211,1.13735427661219,0.259627850248643,0.110250127196518,0.93932145484901
49,2,0.0288340607804992,0.0012303305331382,0.174300906095047,1.0717561448132,0.286665110149946,0.0617919768487976,0.954087407011135
49,3,0.00663482172420088,-0.0119220055769116,0.130682330487081,0.982928285817134,0.309279341776837,0.0508212381171065,0.957761043820845
49,4,0.045321443009005,0.0439834954381385,0.132259167426334,0.911194134490352,0.327853064605761,0.0579659898027119,0.958094810514073
49,5,0.0965749832746194,0.113583885496033,0.141187691771807,0.86446349598575,0.343770145292056,0.0738583598316405,0.958081826232454
49,6,0.143643876281685,0.177416511309605,0.145947870228523,0.839674486603094,0.357976600655994,0.0936297429577677,0.958765146992391
49,7,0.182002070425826,0.230049563347644,0.144637393750806,0.831010888496791,0.370944592821058,0.114639755266842,0.96040208404911
49,8,0.211610085779905,0.271279850838533,0.138480677587877,0.832849668285607,0.382856393067542,0.135449428885672,0.962945963022665
49,9,0.233863716503241,0.302633427805198,0.12939939480178,0.840650256244011,0.393757010941403,0.155307884769952,0.966244672584256
49,10,0.250427694190565,0.326010769904948,0.11917189913694,0.851072522802453,0.403647240011305,0.173870295505899,0.970121881467633
49,11,0.262820627555245,0.343193303912826,0.1091967716275,0.861832253472962,0.412531880007111,0.19103108651129,0.974409666768782
49,12,0.272294391358449,0.355691197069086,0.100474079840096,0.871490255847671,0.420439937205347,0.206820669196244,0.97896091278955
49,13,0.279825033090061,0.364722489914085,0.0936564052579996,0.879246856781928,0.42742884671047,0.221340325737732,0.983653131965252
49,14,0.286142657524536,0.371239440776177,0.0891153168583669,0.884764892224753,0.433580429729412,0.234721417353141,0.988388508766411
49,15,0.291771970559561,0.375968777492973,0.0870048360939341,0.88802580828313,0.438993303749921,0.247100624361899,0.99309219224995
